codeName	freq
"1,1"	40719
"1,21"	8501
"1,21,2"	4012
"5,20"	3346
"5,12"	1567
"9,7"	1394
"16,7"	516
"24,19"	392
"21,2"	339
"22,15"	273
"21,9"	254
"6,7"	249
"10,6"	230
"10,19"	229
"12,11"	210
"23,7"	190
"10,15"	170
"13,10"	168
"6,16"	127
"25,22"	120
"25,11"	117
"15,6"	113
"9,11"	112
"25,6"	110
"13,2"	109
"13,17"	103
"10,18"	95
"18,24"	92
"9,16"	90
"25,18"	83
"18,19"	79
"12,19"	75
"25,9"	71
"17,19"	70
"10,7"	69
"10,2"	66
"24,6"	65
"23,9"	63
"25,10"	63
"10,9"	61
"12,7"	60
"2,6"	59
"12,2"	58
"18,6"	55
"13,19"	54
"25,15"	51
"15,16"	50
"23,2"	49
"25,7"	45
"19,6"	44
"4,16"	44
"23,10"	43
"13,7"	40
"10,16"	39
"13,16"	39
"2,19"	39
"25,23"	39
"12,10"	37
"23,16"	37
"21,6"	36
"9,6"	35
"13,23"	34
"11,7"	32
"9,24"	32
"1,7"	31
"21,7"	31
"25,21"	31
"9,15"	31
"15,7"	30
"22,6"	29
"25,16"	29
"10,21"	28
"5,7"	28
"10,22"	27
"12,17"	27
"17,22"	25
"5,2"	25
"13,24"	23
"10,24"	22
"10,4"	22
"18,17"	22
"11,6"	21
"13,9"	21
"13,21"	20
"25,13"	20
"5,18"	20
"13,15"	19
"23,15"	19
"13,18"	18
"4,7"	18
"8,16"	18
"1,22"	17
"12,22"	17
"12,9"	17
"13,12"	17
"24,7"	17
"13,12,10"	16
"13,6"	16
"12,18"	15
"13,10,19"	15
"18,21"	15
"23,3"	15
"24,15"	15
"10,11"	14
"12,16"	14
"12,24"	14
"18,11"	14
"19,7"	14
"2,24"	14
"23,6"	14
"25,20"	14
"12,1"	13
"12,6"	13
"20,7"	13
"5,12,20"	13
"18,22"	12
"2,11"	12
"21,9,7"	12
"22,19"	12
"22,7"	12
"23,19"	12
"13,3"	11
"21,3"	11
"1,21,9"	10
"10,3"	10
"11,19"	10
"18,16"	10
"20,6"	10
"8,10,17,4"	10
"8,7"	10
"9,19"	10
"5,12,11"	9
"6,16,7"	9
"13,12,10,11"	8
"13,22"	8
"13,4"	8
"20,21"	8
"21,16"	8
"22,11"	8
"22,9"	8
"25,5"	8
"5,1"	8
"5,16"	8
"9,2"	8
"11,16"	7
"12,20"	7
"14,6"	7
"18,7"	7
"25,24"	7
"3,6"	7
"5,10"	7
"5,19"	7
"5,6"	7
"5,9"	7
"1,10"	6
"13,10,17"	6
"13,10,4"	6
"13,20"	6
"13,5"	6
"18,2"	6
"18,9"	6
"23,2,3"	6
"25,10,6"	6
"25,19"	6
"5,11"	6
"5,12,7"	6
"9,16,7"	6
"13,10,11"	5
"13,10,21"	5
"13,24,19"	5
"13,5,12,10"	5
"19,16"	5
"20,10"	5
"21,2,3"	5
"21,22"	5
"22,24"	5
"23,10,2"	5
"25,10,22"	5
"25,16,7"	5
"1,23,21"	4
"10,15,6"	4
"10,2,14"	4
"12,10,11"	4
"12,17,24"	4
"12,23"	4
"12,24,19"	4
"13,1"	4
"15,11"	4
"17,2"	4
"17,3"	4
"18,24,19"	4
"19,3"	4
"20,17"	4
"21,11"	4
"22,4"	4
"23,21"	4
"23,21,2"	4
"24,16"	4
"25,22,15"	4
"5,17"	4
"5,20,9"	4
"5,22"	4
"1,2,3,6"	3
"1,23"	3
"1,24"	3
"1,3,6"	3
"1,4,3,6"	3
"10,17"	3
"10,2,19"	3
"10,24,19"	3
"12,10,17"	3
"12,3"	3
"12,9,7"	3
"13,10,2"	3
"13,12,10,11,19"	3
"13,12,19"	3
"17,11"	3
"17,16"	3
"17,24"	3
"17,9"	3
"2,3,6"	3
"20,9"	3
"22,16"	3
"23,11"	3
"25,21,22"	3
"5,15"	3
"5,20,7"	3
"5,21"	3
"8,10,4"	3
"8,4,16"	3
"9,4"	3
"1,10,14"	2
"1,16"	2
"1,2,4,3,6"	2
"1,21,2,14"	2
"1,21,2,3"	2
"1,4,14,6"	2
"1,8,10,2,14"	2
"1,8,2,14,6"	2
"1,8,21,2"	2
"10,21,9"	2
"10,6,16"	2
"11,16,7"	2
"12,1,2"	2
"12,15"	2
"12,16,7"	2
"12,17,19"	2
"12,2,3"	2
"13,10,11,6"	2
"13,10,21,4"	2
"13,11"	2
"13,12,10,18,11"	2
"13,16,7"	2
"13,17,3"	2
"13,4,3"	2
"13,5,10"	2
"13,5,10,11"	2
"13,8,10"	2
"17,7"	2
"18,15"	2
"18,16,7"	2
"2,11,3"	2
"2,14,6"	2
"20,16"	2
"20,16,7"	2
"20,22"	2
"21,2,14"	2
"21,2,6"	2
"21,4"	2
"23,16,7"	2
"24,11,19"	2
"24,19,6"	2
"24,3"	2
"25,10,24"	2
"25,18,6"	2
"4,3,6"	2
"5,12,10"	2
"5,12,16"	2
"5,3"	2
"5,4"	2
"8,10"	2
"8,10,17,21,4"	2
"8,17,4"	2
"9,19,7"	2
"9,3"	2
"1,10,2"	1
"1,10,4"	1
"1,10,4,3"	1
"1,19,3"	1
"1,2,24,3"	1
"1,21,14"	1
"1,21,3"	1
"1,21,9,2"	1
"1,23,21,2"	1
"1,24,3"	1
"1,8,10,4,14"	1
"1,9"	1
"10,11,19"	1
"10,14"	1
"10,15,7"	1
"10,18,11"	1
"10,18,21"	1
"10,2,3"	1
"10,21,4"	1
"10,9,7"	1
"11,3"	1
"12,1,2,3"	1
"12,10,19"	1
"12,10,24"	1
"12,17,24,19"	1
"12,17,9"	1
"12,2,11"	1
"12,21"	1
"12,24,11"	1
"12,24,11,19"	1
"12,9,24"	1
"13,1,4"	1
"13,1,4,3"	1
"13,10,14"	1
"13,10,15"	1
"13,10,18"	1
"13,10,21,19"	1
"13,10,24"	1
"13,10,3"	1
"13,10,9,11"	1
"13,12,10,18,6"	1
"13,12,10,19"	1
"13,12,10,24"	1
"13,12,11"	1
"13,12,17"	1
"13,12,21"	1
"13,14"	1
"13,17,11"	1
"13,17,21"	1
"13,17,24,3"	1
"13,17,6"	1
"13,21,4"	1
"13,23,10"	1
"13,5,12,10,11,6"	1
"13,5,19"	1
"13,5,8"	1
"13,6,16"	1
"14,7"	1
"15,19"	1
"17,24,19"	1
"17,4"	1
"18,11,16"	1
"18,21,2"	1
"18,21,2,3"	1
"18,22,11"	1
"20,10,6"	1
"20,11"	1
"20,15"	1
"20,18"	1
"20,19"	1
"20,23"	1
"21,15"	1
"21,16,7"	1
"21,19"	1
"21,24"	1
"22,15,6"	1
"22,3"	1
"23,10,21"	1
"23,10,3"	1
"23,17"	1
"23,18"	1
"23,9,7"	1
"24,11"	1
"24,6,16"	1
"25,1"	1
"25,10,18,19,6"	1
"25,10,3"	1
"25,10,7"	1
"25,11,6"	1
"25,13,10,22,6"	1
"25,13,23,6,7"	1
"25,21,6"	1
"25,22,6"	1
"25,23,10,16"	1
"25,23,7"	1
"25,3"	1
"25,6,16"	1
"25,8"	1
"25,9,6"	1
"3,7"	1
"4,6"	1
"5,1,2,3"	1
"5,1,4"	1
"5,10,11"	1
"5,10,24,19"	1
"5,12,10,24"	1
"5,12,17,19"	1
"5,12,18"	1
"5,12,19"	1
"5,12,3"	1
"5,20,6"	1
"5,24"	1
"5,24,19"	1
"5,8,4"	1
"8,10,4,14,3"	1
"8,10,4,3"	1
"8,2,6"	1
"8,22"	1
"8,4,16,7"	1
"9,11,7"	1
"9,6,7"	1
