ROW_ID,C1,C2,C3,C4,CLASS1A,CLASS1N,CLASS2A,CLASS2N,CCCKEY
1,"Arts, Architecture & Applied Arts",Architecture,,,NA,0,NA,9999.99,1184
2,"Arts, Architecture & Applied Arts",Arts & Crafts,,,TT,0,TT,999.99,1032
3,"Arts, Architecture & Applied Arts",Fine Arts (General),,,NX,0,NX,820.99,1225
4,"Arts, Architecture & Applied Arts","Gardens, Landscape Architecture & Parks",,,SB,450.9,SB,598.99,1150
5,"Arts, Architecture & Applied Arts",Visual Arts,Decorative Arts,,NK,0,NK,9999.99,1162
6,"Arts, Architecture & Applied Arts",Visual Arts,"Drawing, Design & Illustration",,NC,0,NC,1940.99,1047
8,"Arts, Architecture & Applied Arts",Visual Arts,Painting,,ND,0,ND,3416.99,1116
9,"Arts, Architecture & Applied Arts",Visual Arts,Photography,,TR,0,TR,1050.99,1014
10,"Arts, Architecture & Applied Arts",Visual Arts,Print Media,,NE,0,NE,3002.99,1103
11,"Arts, Architecture & Applied Arts",Visual Arts,Sculpture,,NB,0,NB,1953.99,1256
7,"Arts, Architecture & Applied Arts",Visual Arts,Visual Arts (General),,N,0,N,9200.99,1030
711,Business & Economics,Business,Business Education,,HF,1101,HF,1186,1514
536,Business & Economics,Business,Commerce,Accounting,HF,5601,HF,5716,1408
538,Business & Economics,Business,Commerce,Advertising,HF,5801,HF,6201.99,1410
537,Business & Economics,Business,Commerce,Business Communication,HF,5717,HF,5780,1409
833,Business & Economics,Business,Commerce,"Buying, Selling, Sales Personnel & Sales Executives",HF,5437,HF,5444,1564
12,Business & Economics,Business,Commerce,Commerce (General),HF,0,HF,1054,1033
534,Business & Economics,Business,Commerce,Commerce Vocational Guidance,HF,5381,HF,5392,1406
836,Business & Economics,Business,Commerce,Industrial Psychology,HF,5548.7,HF,5548.85,1566
532,Business & Economics,Business,Commerce,International Commerce,HF,1351,HF,3150,1404
533,Business & Economics,Business,Commerce,Local Commerce,HF,3151,HF,5371,1405
535,Business & Economics,Business,Commerce,Marketing & Distribution of Products,HF,5410,HF,5417.5,1407
825,Business & Economics,Business,Commerce,Marketing & Distribution of Products,HF,5419,HF,5422.99,1407
826,Business & Economics,Business,Commerce,Marketing & Distribution of Products,HF,5484,HF,5495.99,1407
835,Business & Economics,Business,Commerce,Office Organization & Management,HF,5500,HF,5541,1565
834,Business & Economics,Business,Commerce,Office Organization & Management,HF,5546,HF,5548.6,1565
837,Business & Economics,Business,Commerce,Personnel Management & Employment Management,HF,5549,HF,5549.5,1567
865,Business & Economics,Business,Commerce,Personnel Management & Employment Management,T,58,T,58,1567
827,Business & Economics,Business,Commerce,Retail Trade,HF,5428,HF,5430.6,1563
832,Business & Economics,Business,Commerce,Retail Trade,HF,5446,HF,5482.65,1563
541,Business & Economics,Business,Finance,Banking,HG,1501,HG,3550,1412
859,Business & Economics,Business,Finance,"Credit, Debt & Loans",HF,5556,HF,5565.99,1413
542,Business & Economics,Business,Finance,"Credit, Debt & Loans",HG,3691,HG,3769,1413
13,Business & Economics,Business,Finance,Finance (General),HG,0,HG,175.99,1243
539,Business & Economics,Business,Finance,Financial Management & Planning,HG,178,HG,195,1411
540,Business & Economics,Business,Finance,Financial Management & Planning,HG,4001,HG,4499.99,1411
545,Business & Economics,Business,Finance,Insurance,HG,8011,HG,9370,1416
796,Business & Economics,Business,Finance,Insurance,HG,9400,HG,9999.99,1416
543,Business & Economics,Business,Finance,International Finance,HG,3810,HG,4000,1414
544,Business & Economics,Business,Finance,Investment & Speculation,HG,4501,HG,6270,1415
712,Business & Economics,Business,Finance,Money,HG,201,HG,1496,1515
569,Business & Economics,Business,Management,Industrial Management,HD,2321,HD,4730,1419
570,Business & Economics,Business,Management,Management (General),HD,5521,HD,5599,1420
568,Business & Economics,Business,Management,Management Styles & Communication,HD,31,HD,70,1418
840,Business & Economics,Business,Management,Management Styles & Communication,HF,5550,HF,5550,1418
567,Business & Economics,Business,Management,Management Theory,HD,0,HD,30.99,1417
16,Business & Economics,Economics,Agricultural Economics,,HD,1400,HD,2299,1170
17,Business & Economics,Economics,Agricultural Economics,,HD,9000,HD,9024,1170
19,Business & Economics,Economics,Demography,,HB,847,HB,3699,1212
20,Business & Economics,Economics,Economic History,,HC,0,HC,1085.99,1109
29,Business & Economics,Economics,Economic Theory,,HB,0,HB,846.99,1195
30,Business & Economics,Economics,Economic Theory,,HB,3700,HB,3840,1195
31,Business & Economics,Economics,Economic Theory,,HD,72,HD,99,1195
21,Business & Economics,Economics,Industries,,HD,2300,HD,2320.99,1084
777,Business & Economics,Economics,Industries,,HD,4731,HD,4799,1084
22,Business & Economics,Economics,Industries,,HD,9025,HD,9993.99,1084
794,Business & Economics,Economics,Industries,,HD,9997,HD,9999.99,1084
23,Business & Economics,Economics,Industries,,TX,0,TX,339,1084
24,Business & Economics,Economics,Industries,,TX,851,TX,10000,1084
25,Business & Economics,Economics,Labor & Workers' Economics,,HD,4800,HD,5520,1110
778,Business & Economics,Economics,Labor & Workers' Economics,,HD,5600,HD,7284,1110
26,Business & Economics,Economics,Labor & Workers' Economics,,HD,7395,HD,8999,1110
27,Business & Economics,Economics,"Real Estate, Housing & Land Use",,HD,100,HD,1399,1082
